Timestamp,Email Address,First & Last Name,"Excel-erate is an adult program. Are you at least 18 years of age, or will you be supervised by an adult?",What is your Do Space Membership Number?,I commit to attending the meetups at the required dates and times detailed above.,I have access to the following technology:,I agree to all of the following:,Zip Code,What is your race/ethnicity,What is your gender?,What is the highest level of education you have completed?,Which category best describes the industry you primarily work in.,What is your household income range?,Why do you want to improve your Microsoft Excel skills?,How will increasing your proficiency with Microsoft Excel assist you in your long-term career goals?,How have you used Microsoft Excel in the past?
,darlene.snell @example.com,Darlene Snell,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"$35,000 to $49,999",,,
,ned.flanders @example.com,Ned Flanders,Yes,,Yes,Computer,"Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,"Professional (JD, Ed.D) or Doctorate Degree (Ph.D., PsyD.)",,,,,
,homer.simpson @example.com,Homer Simpson,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,Hispanic/Latino,Female,Bachelor's Degree,,"$50,000 to $74,999",,,
,marge.simpson @example.com,Marge Simpson,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Associate's Degree or Similar 2-Year College Degree,,"$35,000 to $49,999",,,
,bart.simpson @example.com,Bart Simpson,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"Over $100,000",,,
,lisa.simpson @example.com,Lisa Simpson,Yes,,Yes,"Computer, Internet","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Male,Some College but no degree,,"$75,000 to $99,999",,,
,maggie.simpson @example.com,Maggie Simpson,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,Asian,Male,Associate's Degree or Similar 2-Year College Degree,,"Less than $20,000",,,
,ann.perkins @example.com,Ann Perkins,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,Asian,Female,Bachelor's Degree,,"$20,000 to $34,999",,,
,leslie.knope @example.com,Leslie Knope,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,,Female,Associate's Degree or Similar 2-Year College Degree,,"$20,000 to $34,999",,,
,ron.swanson @example.com,Ron Swanson,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"Black, non-Hispanic",Female,Bachelor's Degree,,"$50,000 to $74,999",,,
,tom.haverford @example.com,Tom Haverford,Yes,,Yes,"Computer, Internet, Microsoft Excel 2016 or above, A second monitor or the ability to split-screen or toggle between multiple programs (Zoom and Excel)","Abide by Do Space's Behavioral policy & code of conduct, Attend each meetup during my session on Tuesdays from 11:00am-1:00pm, Complete all necessary work between each session, Be an attentive and engaged participant",,"White, non-Hispanic",Female,Bachelor's Degree,,"$50,000 to $74,999",,,
,april.ludgate @example.com,April Ludgate,,,,,,,,,,,,,,
,andy.dwyer @example.com,Andy Dwyer,,,,,,,,,,,,,,
,chris.traeger @example.com,Chris Traeger,,,,,,,,,,,,,,
,ben.wyatt @example.com,Ben Wyatt,,,,,,,,,,,,,,
